support;itemsets
1.0;[2708]
0.9865771812080537;[4026, 2708]
0.9865771812080537;[4026]
0.9395973154362416;[4140]
0.9395973154362416;[2708, 4140]
0.9328859060402684;[4168, 2708]
0.9328859060402684;[4168]
0.9261744966442953;[4168, 2708, 4140]
0.9261744966442953;[4168, 4140]
0.9261744966442953;[2708, 4026, 4140]
0.9261744966442953;[4026, 4140]
0.9194630872483222;[4168, 4026]
0.9194630872483222;[4168, 4026, 2708]
0.912751677852349;[4168, 4026, 4140]
0.912751677852349;[4168, 2708, 4026, 4140]
0.9060402684563759;[4066]
0.9060402684563759;[4066, 2708]
