support;itemsets
0.9747899159663865;[(2708, 'DC')]
0.9747899159663865;[(4066, 'DC')]
0.9663865546218487;[(4026, 'DC')]
0.9663865546218487;[(2708, 'DC'), (4066, 'DC')]
0.9663865546218487;[(2708, 'DC'), (4026, 'DC')]
0.957983193277311;[(2708, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.957983193277311;[(3658, 'DC')]
0.957983193277311;[(3658, 'DC'), (4066, 'DC')]
0.957983193277311;[(4066, 'DC'), (4026, 'DC')]
0.9495798319327731;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9495798319327731;[(3636, 'DC'), (3658, 'DC'), (4066, 'DC')]
0.9495798319327731;[(3636, 'DC'), (4066, 'DC')]
0.9495798319327731;[(3636, 'DC'), (3658, 'DC')]
0.9495798319327731;[(4068, 'DC'), (4066, 'DC')]
0.9495798319327731;[(2708, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9495798319327731;[(2708, 'DC'), (3658, 'DC')]
0.9495798319327731;[(2708, 'DC'), (4068, 'DC')]
0.9495798319327731;[(3636, 'DC')]
0.9495798319327731;[(2742, 'DC')]
0.9495798319327731;[(4120, 'DC')]
0.9495798319327731;[(4068, 'DC')]
0.9411764705882353;[(3636, 'DC'), (2708, 'DC'), (4066, 'DC')]
0.9411764705882353;[(2708, 'DC'), (2742, 'DC')]
0.9411764705882353;[(4068, 'DC'), (4026, 'DC')]
0.9411764705882353;[(2708, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9411764705882353;[(4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9411764705882353;[(2708, 'DC'), (4120, 'DC')]
0.9411764705882353;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9411764705882353;[(2708, 'DC'), (3658, 'DC'), (4066, 'DC'), (3636, 'DC')]
0.9411764705882353;[(4120, 'DC'), (2742, 'DC')]
0.9411764705882353;[(2708, 'DC'), (4066, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9411764705882353;[(2708, 'DC'), (3658, 'DC'), (3636, 'DC')]
0.9411764705882353;[(3636, 'DC'), (2708, 'DC')]
0.9411764705882353;[(2708, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9411764705882353;[(3658, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9411764705882353;[(3658, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2742, 'DC'), (4026, 'DC')]
0.9327731092436975;[(4066, 'DC'), (2742, 'DC')]
0.9327731092436975;[(3658, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4068, 'DC'), (3658, 'DC')]
0.9327731092436975;[(2744, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (2744, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9327731092436975;[(3658, 'DC'), (4068, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4120, 'DC'), (2742, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9327731092436975;[(2708, 'DC'), (2744, 'DC')]
0.9327731092436975;[(3636, 'DC'), (4026, 'DC')]
0.9327731092436975;[(3636, 'DC'), (2708, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9327731092436975;[(4120, 'DC'), (4026, 'DC')]
0.9327731092436975;[(4120, 'DC'), (4066, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4120, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (4120, 'DC'), (4066, 'DC')]
0.9327731092436975;[(3636, 'DC'), (3658, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9327731092436975;[(3636, 'DC'), (2708, 'DC'), (4026, 'DC')]
0.9327731092436975;[(3636, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9327731092436975;[(3636, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2708, 'DC'), (3658, 'DC'), (3636, 'DC'), (4026, 'DC')]
0.9327731092436975;[(2744, 'DC')]
0.9243697478991597;[(4120, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4120, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2708, 'DC'), (2744, 'DC'), (4066, 'DC')]
0.9243697478991597;[(2744, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2708, 'DC'), (2744, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2744, 'DC'), (4066, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4068, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9243697478991597;[(3658, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3658, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4120, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4066, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9243697478991597;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC')]
0.9243697478991597;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC')]
0.9243697478991597;[(3636, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9243697478991597;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC'), (2708, 'DC')]
0.9243697478991597;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9243697478991597;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9243697478991597;[(3658, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9243697478991597;[(4120, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9243697478991597;[(4066, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9243697478991597;[(2708, 'DC'), (4120, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9243697478991597;[(3636, 'DC'), (4068, 'DC')]
0.9243697478991597;[(4120, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9159663865546218;[(3636, 'DC'), (4120, 'DC')]
0.9159663865546218;[(4068, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9159663865546218;[(3658, 'DC'), (2742, 'DC')]
0.9159663865546218;[(2956, 'DC')]
0.9159663865546218;[(4020, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4120, 'DC'), (3658, 'DC')]
0.9159663865546218;[(4124, 'DC')]
0.9159663865546218;[(3658, 'DC'), (4120, 'DC'), (4066, 'DC')]
0.9159663865546218;[(3636, 'DC'), (3658, 'DC'), (4120, 'DC')]
0.9159663865546218;[(4066, 'DC'), (2956, 'DC')]
0.9159663865546218;[(4068, 'DC'), (4120, 'DC')]
0.9159663865546218;[(4120, 'DC'), (4066, 'DC'), (2742, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (2742, 'DC'), (4120, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4068, 'DC'), (2742, 'DC')]
0.9159663865546218;[(3636, 'DC'), (3658, 'DC'), (4120, 'DC'), (4066, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2708, 'DC'), (2744, 'DC'), (4124, 'DC')]
0.9159663865546218;[(2744, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4124, 'DC')]
0.9159663865546218;[(3658, 'DC'), (4066, 'DC'), (2742, 'DC')]
0.9159663865546218;[(2708, 'DC'), (3658, 'DC'), (2742, 'DC')]
0.9159663865546218;[(4124, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2744, 'DC'), (4124, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4066, 'DC'), (3658, 'DC'), (2742, 'DC')]
0.9159663865546218;[(4068, 'DC'), (2742, 'DC')]
0.9159663865546218;[(2708, 'DC'), (2744, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.9159663865546218;[(3636, 'DC'), (2708, 'DC'), (4120, 'DC'), (3658, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4020, 'DC')]
0.9159663865546218;[(4020, 'DC'), (4026, 'DC')]
0.9159663865546218;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC'), (4120, 'DC')]
0.9159663865546218;[(3636, 'DC'), (2708, 'DC'), (4120, 'DC')]
0.9159663865546218;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9159663865546218;[(3636, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9159663865546218;[(3636, 'DC'), (2708, 'DC'), (4120, 'DC'), (4066, 'DC')]
0.9159663865546218;[(3658, 'DC'), (4120, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4020, 'DC'), (4026, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9159663865546218;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4068, 'DC'), (4120, 'DC')]
0.9159663865546218;[(4068, 'DC'), (4066, 'DC'), (4120, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (4120, 'DC')]
0.9159663865546218;[(3636, 'DC'), (4120, 'DC'), (4066, 'DC')]
0.9159663865546218;[(4016, 'DC')]
0.9159663865546218;[(2708, 'DC'), (4120, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9159663865546218;[(3636, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.907563025210084;[(2744, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.907563025210084;[(2708, 'DC'), (4068, 'DC'), (2744, 'DC'), (4026, 'DC')]
0.907563025210084;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2744, 'DC')]
0.907563025210084;[(3658, 'DC'), (2744, 'DC'), (4066, 'DC')]
0.907563025210084;[(2708, 'DC'), (4068, 'DC'), (2744, 'DC')]
0.907563025210084;[(4068, 'DC'), (2744, 'DC')]
0.907563025210084;[(2708, 'DC'), (4068, 'DC'), (2744, 'DC'), (4066, 'DC')]
0.907563025210084;[(4068, 'DC'), (2744, 'DC'), (4026, 'DC')]
0.907563025210084;[(2744, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.907563025210084;[(3658, 'DC'), (2744, 'DC')]
0.907563025210084;[(2708, 'DC'), (2956, 'DC')]
0.907563025210084;[(3658, 'DC'), (4066, 'DC'), (2956, 'DC')]
0.907563025210084;[(3658, 'DC'), (2744, 'DC'), (4026, 'DC')]
0.907563025210084;[(2708, 'DC'), (3658, 'DC'), (2744, 'DC')]
0.907563025210084;[(3658, 'DC'), (2956, 'DC')]
0.907563025210084;[(2708, 'DC'), (3658, 'DC'), (2744, 'DC'), (4066, 'DC')]
0.907563025210084;[(2708, 'DC'), (4020, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.907563025210084;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (2744, 'DC')]
0.907563025210084;[(4020, 'DC'), (4066, 'DC')]
0.907563025210084;[(2708, 'DC'), (4066, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.907563025210084;[(4020, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.907563025210084;[(2744, 'DC'), (4066, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.907563025210084;[(2708, 'DC'), (4020, 'DC'), (4066, 'DC')]
0.907563025210084;[(2708, 'DC'), (4066, 'DC'), (4124, 'DC')]
0.907563025210084;[(3658, 'DC'), (2744, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.907563025210084;[(4066, 'DC'), (4124, 'DC'), (4026, 'DC')]
0.907563025210084;[(2744, 'DC'), (4066, 'DC'), (4124, 'DC')]
0.907563025210084;[(4066, 'DC'), (4124, 'DC')]
0.907563025210084;[(2708, 'DC'), (4016, 'DC')]
0.907563025210084;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (3658, 'DC'), (2744, 'DC')]
