support;itemsets
1.0;[(2708, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC')]
1.0;[(4068, 'DC'), (4066, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC')]
1.0;[(4068, 'DC')]
1.0;[(4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC'), (3658, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (4068, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9829059829059829;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC'), (3658, 'DC')]
0.9829059829059829;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC')]
0.9829059829059829;[(3636, 'DC'), (3658, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC'), (2708, 'DC')]
0.9829059829059829;[(4068, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC'), (2708, 'DC')]
0.9829059829059829;[(3636, 'DC'), (4066, 'DC')]
0.9829059829059829;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9829059829059829;[(2708, 'DC'), (4068, 'DC'), (3658, 'DC')]
0.9829059829059829;[(2708, 'DC'), (4066, 'DC'), (3658, 'DC')]
0.9829059829059829;[(3658, 'DC'), (4068, 'DC'), (4066, 'DC')]
0.9829059829059829;[(2708, 'DC'), (3658, 'DC')]
0.9829059829059829;[(3658, 'DC'), (4068, 'DC')]
0.9829059829059829;[(3658, 'DC'), (4066, 'DC')]
0.9829059829059829;[(3636, 'DC')]
0.9829059829059829;[(3658, 'DC')]
0.9829059829059829;[(3636, 'DC'), (3658, 'DC')]
0.9743589743589743;[(4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9743589743589743;[(2708, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9743589743589743;[(2708, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9743589743589743;[(2708, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9743589743589743;[(2708, 'DC'), (4026, 'DC')]
0.9743589743589743;[(4068, 'DC'), (4026, 'DC')]
0.9743589743589743;[(4066, 'DC'), (4026, 'DC')]
0.9743589743589743;[(4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (4026, 'DC')]
0.9572649572649573;[(2708, 'DC'), (3658, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4068, 'DC'), (3636, 'DC'), (3658, 'DC'), (2708, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC'), (2708, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4068, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4068, 'DC'), (4066, 'DC'), (3658, 'DC'), (2708, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4068, 'DC'), (4066, 'DC'), (3636, 'DC'), (2708, 'DC')]
0.9572649572649573;[(3636, 'DC'), (2708, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (3658, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9572649572649573;[(2708, 'DC'), (4068, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (2708, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (3658, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3658, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (2708, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3658, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (4068, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9572649572649573;[(2708, 'DC'), (3658, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (2708, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3658, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (4068, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3658, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(3636, 'DC'), (4066, 'DC'), (4026, 'DC')]
0.9572649572649573;[(4026, 'DC'), (4068, 'DC'), (4066, 'DC'), (3636, 'DC'), (3658, 'DC'), (2708, 'DC')]
