support;itemsets
1.0;[4068]
0.9914529914529915;[3658, 4068]
0.9914529914529915;[4066, 4068, 3658, 3636]
0.9914529914529915;[4066, 4068, 3636]
0.9914529914529915;[3658, 4068, 3636]
0.9914529914529915;[4066, 3636, 3658]
0.9914529914529915;[4068, 3636]
0.9914529914529915;[4066, 3636]
0.9914529914529915;[4066, 4068, 3658]
0.9914529914529915;[3658, 3636]
0.9914529914529915;[4066, 3658]
0.9914529914529915;[4066, 4068]
0.9914529914529915;[4066]
0.9914529914529915;[3636]
0.9914529914529915;[3658]
0.9658119658119658;[2708]
0.9658119658119658;[2708, 4068]
0.9572649572649573;[2708, 4066, 4068]
0.9572649572649573;[4066, 2708, 3658, 3636]
0.9572649572649573;[4066, 4068, 3658, 2708, 3636]
0.9572649572649573;[2708, 4066, 4068, 3658]
0.9572649572649573;[2708, 4066, 4068, 3636]
0.9572649572649573;[2708, 3658, 4068, 3636]
0.9572649572649573;[4066, 2708, 3658]
0.9572649572649573;[3658, 2708, 3636]
0.9572649572649573;[4066, 2708, 3636]
0.9572649572649573;[2708, 3658, 4068]
0.9572649572649573;[2708, 4068, 3636]
0.9572649572649573;[4066, 2708]
0.9572649572649573;[3658, 2708]
0.9572649572649573;[2708, 3636]
0.9145299145299145;[4026]
0.9145299145299145;[4026, 4068]
0.905982905982906;[4026, 3636, 3658]
0.905982905982906;[4026, 4066, 4068]
0.905982905982906;[4026, 4066, 3636]
0.905982905982906;[4026, 4066, 3658]
0.905982905982906;[4026, 4066, 4068, 3636]
0.905982905982906;[4026, 4068, 3658, 3636]
0.905982905982906;[4066, 4068, 3658, 3636, 4026]
0.905982905982906;[4026, 4068, 3658]
0.905982905982906;[4026, 4068, 3636]
0.905982905982906;[4026, 4066, 4068, 3658]
0.905982905982906;[2708, 4026, 4068]
0.905982905982906;[4026, 4066]
0.905982905982906;[4026, 3658]
0.905982905982906;[4026, 3636]
0.905982905982906;[4026, 2708]
0.905982905982906;[4026, 4066, 3636, 3658]
0.8974358974358975;[4066, 3658, 2708, 3636, 4026]
0.8974358974358975;[4066, 4068, 3658, 2708, 4026]
0.8974358974358975;[4026, 2708, 4066, 4068]
0.8974358974358975;[4026, 4066, 2708, 3636]
0.8974358974358975;[4066, 4068, 3658, 2708, 3636, 4026]
0.8974358974358975;[4026, 4066, 2708, 3658]
0.8974358974358975;[4066, 4068, 2708, 3636, 4026]
0.8974358974358975;[4026, 4066, 2708]
0.8974358974358975;[4026, 2708, 3658]
0.8974358974358975;[4026, 2708, 3636]
0.8974358974358975;[2708, 4026, 4068, 3636]
0.8974358974358975;[4068, 3658, 2708, 3636, 4026]
0.8974358974358975;[4026, 2708, 3658, 3636]
0.8974358974358975;[2708, 4026, 4068, 3658]
0.8717948717948718;[2956]
0.8717948717948718;[2956, 4068]
0.8632478632478633;[4068, 2956, 3636]
0.8632478632478633;[4066, 4068, 3658, 2956, 3636]
0.8632478632478633;[2956, 3636]
0.8632478632478633;[3658, 2956]
0.8632478632478633;[4066, 2956]
0.8632478632478633;[2956, 3658, 4068]
0.8632478632478633;[2956, 3658, 3636]
0.8632478632478633;[4068, 2956, 3658, 3636]
0.8632478632478633;[2956, 4066, 4068, 3636]
0.8632478632478633;[2956, 4066, 3636]
0.8632478632478633;[2956, 4066, 4068]
0.8632478632478633;[2956, 4066, 3636, 3658]
0.8632478632478633;[4066, 2956, 3658]
0.8632478632478633;[2956, 4066, 4068, 3658]
0.8547008547008547;[4124]
0.8547008547008547;[4068, 4124]
0.8461538461538461;[4066, 4068, 4124, 3636]
0.8461538461538461;[3658, 3636, 4124]
0.8461538461538461;[4066, 4068, 3658, 3636, 4124]
0.8461538461538461;[4066, 4124, 3658]
0.8461538461538461;[4068, 3658, 3636, 4124]
0.8461538461538461;[4066, 3636, 3658, 4124]
0.8461538461538461;[3658, 4068, 4124]
0.8461538461538461;[4068, 3636, 4124]
0.8461538461538461;[4066, 3636, 4124]
0.8461538461538461;[4066, 4124]
0.8461538461538461;[3658, 4124]
0.8461538461538461;[3636, 4124]
0.8461538461538461;[4066, 4068, 3658, 4124]
0.8461538461538461;[4066, 4068, 4124]
0.8376068376068376;[2956, 2708]
0.8376068376068376;[2956, 2708, 4068]
0.8290598290598291;[2956, 4066, 2708]
0.8290598290598291;[2956, 3658, 2708]
0.8290598290598291;[2956, 2708, 3636]
0.8290598290598291;[2956, 2708, 4066, 4068]
0.8290598290598291;[2956, 2708, 3658, 4068]
0.8290598290598291;[4068, 2708, 3636, 2956]
0.8290598290598291;[4066, 3658, 2956, 2708, 3636]
0.8290598290598291;[2956, 4066, 2708, 3658]
0.8290598290598291;[2956, 4066, 2708, 3636]
0.8290598290598291;[2956, 2708, 3658, 3636]
0.8290598290598291;[4066, 4068, 2956, 2708, 3636]
0.8290598290598291;[4068, 3658, 2956, 2708, 3636]
0.8290598290598291;[4066, 4068, 3658, 2956, 2708]
0.8290598290598291;[4066, 4068, 3658, 2956, 2708, 3636]
0.8290598290598291;[2708, 4068, 4124]
0.8290598290598291;[2708, 4124]
0.8205128205128205;[4066, 4068, 3658, 2708, 3636, 4124]
0.8205128205128205;[4066, 3658, 2708, 3636, 4124]
0.8205128205128205;[4068, 3658, 2708, 3636, 4124]
0.8205128205128205;[4066, 4068, 2708, 3636, 4124]
0.8205128205128205;[2708, 3658, 3636, 4124]
