support;itemsets
0.9713155291790306;[2708]
0.9297725024727992;[4026]
0.9218595450049456;[4026, 2708]
0.9208704253214639;[4066]
0.9129574678536103;[4068]
0.9000989119683481;[4066, 2708]
0.8931750741839762;[2708, 4068]
0.8882294757665677;[4066, 4068]
0.8694362017804155;[3658]
0.8694362017804155;[2708, 4066, 4068]
0.8694362017804155;[3636]
0.8644906033630069;[3658, 3636]
0.8555885262116716;[4026, 4066]
0.8516320474777448;[4026, 4066, 2708]
0.8506429277942631;[2708, 3636]
0.8506429277942631;[3658, 2708]
0.8496538081107814;[4066, 3636]
0.8496538081107814;[3658, 4066]
0.847675568743818;[4026, 4068]
0.8456973293768546;[2708, 3658, 3636]
0.8447082096933729;[2956]
0.8447082096933729;[4066, 3636, 3658]
0.8437190900098912;[4068, 3636]
0.8437190900098912;[2708, 4026, 4068]
0.8427299703264095;[3658, 4068]
0.8387734915924827;[4068, 3658, 3636]
0.8338278931750742;[4148]
0.8318496538081108;[2708, 4066, 3636]
0.8318496538081108;[3658, 2708, 4066]
0.8269040553907022;[2708, 4066, 3636, 3658]
0.8259149357072205;[4068, 2708, 3636]
0.8249258160237388;[2708, 3658, 4068]
0.8249258160237388;[2956, 2708]
0.8239366963402571;[4026, 4068, 4066]
0.8239366963402571;[4068, 4066, 3636]
0.8229475766567754;[3658, 4068, 4066]
0.820969337289812;[4068, 2708, 3658, 3636]
0.820969337289812;[2708, 4026, 4068, 4066]
0.8189910979228486;[4068, 4066, 3636, 3658]
0.8180019782393669;[2708, 4148]
0.8180019782393669;[4120]
0.8071216617210683;[4068, 2708, 4066, 3636]
0.8061325420375866;[4066, 2956]
0.8061325420375866;[2708, 3658, 4068, 4066]
0.8061325420375866;[4026, 3636]
0.8061325420375866;[4026, 3658]
0.8051434223541049;[4120, 2708]
0.8021760633036598;[4066, 4068, 3658, 2708, 3636]
0.8021760633036598;[2956, 3636]
0.8011869436201781;[4026, 3658, 2708]
0.8011869436201781;[2708, 4026, 3636]
0.8011869436201781;[4026, 3636, 3658]
0.8001978239366964;[2956, 4068]
