Unnamed: 0;incident_id;vehicles_sequence;events_sequence;seconds_to_incident_sequence;approx_lat;approx_lon;train_kph_sequence;dj_ac_state_sequence;dj_dc_state_sequence;incident_type;acceleration_seq
0;4432881;[609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609];[3236, 2982, 4066, 2708, 3082, 4394, 3086, 1286, 1720, 1740, 1760, 1780, 4396, 1286, 2652, 4094, 2742, 4026, 4148, 2708, 3036, 4394, 4168, 4140, 3986, 2744, 4002, 2852, 4110, 2854, 2982, 4148, 2708, 4026, 4140, 4152, 4168, 4030, 4018, 4156, 4406, 4410, 4408, 4412, 2980];[-1188, -1119, -954, -813, -566, -566, -561, -561, -555, -555, -555, -555, -551, -547, -546, -545, -473, -473, -473, -451, -443, -443, -413, -411, -395, 219, 219, 222, 222, 223, 224, 224, 225, 225, 225, 235, 252, 253, 254, 254, 266, 268, 274, 277, 284];50.876600737655856;4.718143063591023;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' True', ' True', ' True', ' True', ' True', ' True'];4;[0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4432943;[526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 526, 1094, 1094, 1094, 1094, 1094, 1094, 1094, 1094, 1094, 1094, 1094];[2956, 4066, 3636, 4078, 2956, 4066, 3636, 4078, 2956, 4066, 3636, 2956, 4066, 3636, 4078, 2956, 4066, 3636, 4078, 2956, 4180, 2658, 3254, 4080, 2708, 4066, 3658, 4066, 3658, 4066, 3658, 4066, 3658, 4066, 3658, 4080];[-1197, -1146, -1052, -1044, -978, -858, -808, -803, -759, -546, -529, -465, -330, -277, -269, -211, -110, -103, -99, -67, 20, 21, 21, 27, 177, -1146, -1052, -858, -808, -546, -529, -329, -277, -110, -103, 28];51.0374352;4.431217961341853;[71.7, 0.0, 0.0, 0.0, 59.0, 0.0, 0.0, 0.0, 52.9, 0.0, 0.0, 28.7, 0.0, 0.0, 0.0, 65.4, 0.0, 0.0, 0.0, 31.7, 21.9, 22.4, 22.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];13;[-0.9444444444444444, 0.0, 0.0, 0.8939393939393939, 0.78125, 0.0, 0.0, 1.2022727272727272, 1.1722222222222223, 0.0, 0.4484375, 1.5000000000000002, 0.0, 0.0, 1.1275862068965519, 0.6333333333333333, 0.0, 0.0, 0.990625, 1.5727272727272728, 0.5, nan, -3.6833333333333336, 0.0, 0.0, -0.0010638297872340426, 0.0, 0.0, 0.0003816793893129771, -0.0058823529411764705, 0.0005, -0.0019230769230769232, 0.0, 0.0, 0.0, 0.0049873203719357564]
2;4432955;[592, 592, 592, 592, 592, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 643, 643, 643, 643];[4028, 4050, 2752, 4026, 4032, 4112, 4154, 2038, 4394, 2534, 2492, 2708, 4022, 3506, 2742, 4050, 4032, 2708, 4026, 4028, 2752, 4026, 4032];[292, 292, 293, 293, 293, -209, -209, -208, -208, -89, 91, 102, 279, 285, 291, 291, 292, 296, 297, 293, 294, 294, 294];50.864082883076925;4.162115226153846;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' True', ' True', ' True', ' True'];14;[nan, 0.0, nan, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0]
3;4433021;[576, 576, 576, 576, 576, 576, 576, 576, 576, 576, 576, 576, 576, 663, 663, 663, 663, 663, 663, 663, 663, 663];[358, 4394, 4120, 3636, 4120, 4068, 2708, 2742, 4120, 2708, 4026, 4016, 4020, 3658, 4068, 4016, 4022, 2744, 2708, 4020, 4026, 4394];[-596, -596, -355, -30, -30, 44, 64, 81, 107, 159, 294, 295, 297, -33, 42, 80, 239, 292, 294, 294, 294, 298];51.18321961789474;4.27602526877193;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];2;[nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0]
4;4433129;[634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 634, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647];[4002, 4032, 4028, 2852, 4026, 4110, 2742, 2854, 2708, 4026, 4092, 4094, 4148, 4082, 4092, 4392, 1218, 4090, 4030, 4020, 4026, 4140, 4152, 4168, 4156, 4406, 4410, 4412, 4394, 4408, 4394, 152, 4396, 1962, 4396, 1962, 4066, 4068, 4002, 4032, 4028, 2852, 4026, 4110, 2854, 2572, 4016, 4092, 4094, 4020, 4140, 4168, 1566, 1570, 4394, 2534, 2492, 4066, 4068];[-224, -224, -223, -222, -222, -222, -220, -220, -219, -219, -219, -219, -196, -194, -194, -194, -194, -193, -188, -186, -186, -139, -138, -105, -103, -90, -89, -80, -79, -79, 47, 47, 77, 77, 182, 182, 298, 298, -227, -227, -226, -225, -225, -225, -223, -222, -222, -222, -222, -189, -142, -108, -87, -87, -86, -49, 71, 295, 295];50.818727141618496;3.2536011820809247;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];['False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];['False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];14;[nan, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, nan, nan, nan, 0.0, 0.0, nan, nan, nan, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, 0.0, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0]
5;4433267;[1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1029];[2956, 4066, 2708, 2684, 3620, 3636, 3658, 4124, 4066, 2708, 4068];[-1158, -542, -500, -292, -292, -40, -40, -24, 93, 160, -541];49.66370534546211;5.6980904602830975;[122.8, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];11;[0.1999999999999993, -0.002380952380952381, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, -0.00015748031496062994]
6;4433287;[578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 578, 648, 648, 648, 648, 648, 648, 648, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657];[3256, 4016, 4068, 4066, 2742, 4026, 4148, 2708, 4020, 4026, 2852, 2854, 3254, 3632, 4120, 2858, 2658, 2688, 3256, 4016, 4068, 4066, 4016, 4026, 4020, 3254, 3634, 4124, 2858, 2658, 2688, 3256, 2708, 2744, 4068, 4066, 4016, 4026, 4020];[-952, -911, -906, -905, -220, -220, -220, -218, -218, -218, -203, -201, -148, 223, 224, 296, 299, 299, -951, -911, -905, -904, -219, -219, -217, -1126, -1072, -1067, -990, -987, -987, -954, -944, -914, -908, -907, -222, -222, -220];50.81827768672986;3.2553864746445496;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];13;[0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0]
7;4433333;[589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 589, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657, 657];[4016, 2708, 2742, 4026, 2740, 2752, 4016, 1266, 3548, 4394, 3534, 4022, 4016, 1266, 4002, 4032, 4026, 4028, 2852, 4110, 2854, 4026, 4016, 4020, 4026, 3528, 4394, 3514, 4016, 4050, 4026, 4032, 2708, 2742, 4026, 2740, 2752, 3548, 4394, 3534, 4026, 2708, 2742, 4026, 2740, 2752, 4168, 4140, 3986, 4002, 4032, 4026, 4028, 2852, 4110, 2854, 390, 4394, 2742, 2708, 4026, 4030, 4020, 4148, 2744, 4148, 4016, 4022, 3506, 2742, 4026, 4050, 4148, 4018, 4032, 2740, 3632, 4030, 4018, 4122, 2708];[-1068, -919, -919, -919, -914, -903, -665, -630, -503, -503, -499, -445, -321, -286, 217, 217, 219, 219, 220, 220, 221, 275, 276, 284, 284, -1158, -1158, -1153, -1067, -749, -748, -748, -664, -664, -664, -659, -649, -552, -552, -547, -326, -320, -320, -320, -315, -305, -215, -206, -184, 216, 216, 217, 217, 218, 218, 220, 268, 268, 273, 274, 274, 282, 283, 286, -1068, -1068, -917, -760, -755, -749, -749, -749, -749, -748, -748, -747, -746, -742, -741, -735, -126];50.9600689283737;4.102052046539792;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];2;[0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;4433361;[685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 685, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092, 1092];[4002, 4032, 4026, 4028, 2852, 4110, 2854, 4092, 4094, 1032, 1082, 4396, 4004, 4032, 4026, 4028, 2852, 4110, 2854, 4092, 4094, 4396, 1032, 1082, 1132];[241, 241, 243, 243, 244, 244, 245, 246, 246, 246, 246, 247, 242, 242, 244, 244, 245, 245, 246, 248, 248, 248, 248, 248, 248];50.45308454366197;4.823409283098592;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];99;[nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, nan, nan, 0.0, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, nan, nan, nan, nan, 0.0]
9;4433367;[683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 683, 705, 705];[4066, 3636, 3658, 4078, 4068, 1608, 3636, 3658, 3792, 4394, 1798, 4120, 4068, 3782, 1786, 1790, 3794, 1782, 4396, 3782, 4068, 4066];[-1085, -1010, -1010, -999, -500, -289, -211, -211, -208, -207, -207, -18, 10, 141, 164, 165, 174, 174, 175, 179, -1083, -499];50.53857787171315;4.451036150597609;[0.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0];[' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False', ' False'];[' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True', ' True'];9;[-0.0014583333333333334, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, -0.0002675513698630137, 0.0]
